Name,Country,Region,Winery,Rating,Price,Year
Lahrer Grauburgunder 2018,Germany,Baden,Weingut Wöhrle,3.6,10.46,2018
Pecorino Terre di Chieti 2019,Italy,Terre di Chieti,Collefrisio,4.0,8.9,2019
Niederberg Helden Riesling GG 2017,Germany,Mosel,Schloss Lieser,3.8,26.5,2017
Steingrüble 2017,Germany,Baden,Ziereisen,4.1,13.95,2017
Zeltinger Riesling Kabinett Trocken 2018,Germany,Mosel,Selbach-Oster,3.8,13.95,2018
Piesporter Riesling Feinherb 2017,Germany,Piesport,Kurt Hain,4.0,8.72,2017
Live Wire Riesling 2018,Australia,Barossa,Langmeil,4.0,11.06,2018
Marani 2018,Italy,Veneto,Sartori,3.8,8.39,2018
Sallier de La Tour Grillo 2019,Italy,Sicilia,Tasca d'Almerita,3.9,8.9,2019
Auxerrois 2018,Germany,Baden,Klumpp,3.6,12.8,2018
Blanco 2018,Spain,Yecla,Barahonda,3.5,5.9,2018
Chardonnay 2018,South Africa,Cape Town,Cape Town Wine Co,3.0,7.5,2018
Escherndorfer Riesling 2018,Germany,Escherndorf,Horst Sauer,3.4,12.5,2018
Chenin Blanc 2018,South Africa,Paarl,Windmeul Kelder Cellar,3.4,7.5,2018
Weißburgunder Muschelkalk 2018,Germany,Baden,Enderle & Moll,3.9,15.01,2018
ReinSchiefer Nierstein Riesling 2017,Germany,Nierstein,Schätzel,3.6,20.53,2017
Edición Limitada Lías Verdejo 2017,Spain,Rueda,Ramón Bilbao,3.6,13.01,2017
Schellenbrunnen Riesling GG 2014,Germany,Baden,Heitlinger,3.9,30.39,2014
Halgans Riesling Trocken 2018,Germany,Nahe,Emrich-Schönleber,4.1,20.84,2018
Saarburger Rausch Spätlese Riesling 2015,Germany,Mosel,Markus Molitor,3.6,20.95,2015
Sauvignon Riserva 2014,Italy,Südtirol - Alto Adige,Cantina Bolzano / Kellerei Bozen,3.8,18.03,2014
Sauvignon 2018,France,Loire Valley,Domaine de la Foliette,3.4,7.7,2018
Deidesheimer Paradiesgarten 2017,Germany,Pfalz,Reichsrat von Buhl,4.1,21.0,2017
Riesling 'D' 2016,New Zealand,Marlborough,Te Whare Ra,3.8,21.45,2016
Jesuitengarten Riesling GG 2017,Germany,Pfalz,Dr. Von Bassermann-Jordan,4.0,43.77,2017
Johannishof Riesling Trocken 2019,Germany,Pfalz,Knipser,3.8,7.9,2019
Sauvignon Blanc 2019,Slovenia,Štajerska,Verus,3.9,11.9,2019
Chardonnay 2018,France,Pays d'Oc,Domaine d'Aubaret,3.5,6.95,2018
Sauvignon Blanc 500 2018,Germany,Pfalz,Von Winning,4.3,40.0,2018
Réserve Spéciale Sauvignon Blanc 2019,France,Pays d'Oc,Gérard Bertrand,3.9,8.32,2019
Terravignata Verdicchio di Matelica 2018,Italy,Verdicchio di Matelica,Borgo Paglianetto,3.4,11.35,2018
Lugana Lago 2019,Italy,Lugana,Zenato,3.4,6.9,2019
Bourgogne Blanc 2014,France,Bourgogne,Domaine Bruno Clair,3.8,23.29,2014
Lorch Riesling 2016,Germany,Rheingau,August Kesseler,4.0,16.5,2016
Pouilly-Fuissé Pentacrine 2016,France,Pouilly-Fuissé,Domaine Saumaize-Michelin,4.0,24.08,2016
Passerina (Unico) 2019,Italy,Terre di Chieti,Tenuta Ulisse,3.9,9.5,2019
Pinot Grigio 2019,Italy,Venezia Giulia,Sacchetto,3.7,4.94,2019
Niederhäuser Hermannshöhle Riesling Spätlese 2018,Germany,Nahe,Dönnhoff,4.1,29.9,2018
Steinreich Riesling 2017,Germany,Mosel,Ansgar Clüsserath,3.9,14.14,2017
Clisson 2017,France,Muscadet-Sevre et Maine,Pépière,3.5,17.06,2017
Châteauneuf-du-Pape Blanc 2017,France,Châteauneuf-du-Pape,Château de Nalys,3.8,66.0,2017
Chardonnay Riserva 2013,Italy,Südtirol - Alto Adige,Cantina Bolzano / Kellerei Bozen,3.9,18.5,2013
Grauburgunder Trocken 2018,Germany,Rheinhessen,Villa Welter,3.8,6.5,2018
Châteauneuf-du-Pape Blanc 2018,France,Châteauneuf-du-Pape,Château Mont-Redon,3.9,28.18,2018
Weissburgunder 2018,Germany,Rheinhessen,St. Antony,3.5,9.26,2018
Ungeheuer GG 2018,Germany,Pfalz,Von Winning,4.3,34.0,2018
Grauburgunder 2018,Germany,Baden,Klumpp,3.9,9.9,2018
Cantaloro Toscana Bianco 2018,Italy,Toscana,Avignonesi,3.6,9.65,2018
Steillage Riesling Trocken 2017,Germany,Mosel,Weinhaus Gebruder Steffen,3.6,9.53,2017
Fiano Salento 2018,Italy,Salento,Masseria Altemura,3.8,8.9,2018
Riebeeksrivier Chenin Blanc 2017,South Africa,Swartland,Cape of Good Hope,3.6,13.99,2017
Contraste Branco 2017,Portugal,Douro,Conceito,3.5,9.9,2017
Furmint 2017,Austria,Steiermark,Herrenhof Lamprecht,3.7,13.24,2017
Chardonnay 2018,Australia,Riverina,Pokerface,3.4,7.35,2018
Gorgona 2014,Italy,Toscana,Frescobaldi,4.3,213.4,2014
Chardonnay 2017,Italy,Sicilia,Stemmari,3.5,6.23,2017
Premium Sauvignon Blanc 2019,New Zealand,Marlborough,Saint Clair,3.9,10.95,2019
Beaune 1er Cru Grèves Blanc 2011,France,Beaune 1er Cru 'Les Grèves',Jean-Marc Morey,4.3,48.43,2011
Chablis 1er Cru 'Vaillons' 2015,France,Chablis 1er Cru 'Vaillons',La Chablisienne,3.6,23.9,2015
Côtes de Provence Blanc 2018,France,Côtes de Provence,Château de Pampelonne,3.6,14.4,2018
Clos Saint Landelin Riesling 2016,France,Alsace,René Muré,4.0,29.15,2016
Weisser Burgunder Tradition 2017,Germany,Pfalz,Philipp Kuhn,3.5,11.19,2017
Nuat 2015,Spain,Pla de Bages,Abadal,4.1,23.3,2015
Perfiles Calcareo Chardonnay 2016,Argentina,Mendoza,Trapiche,3.5,15.9,2016
Vom Gelben Fels Riesling Trocken 2018,Germany,Pfalz,Weingut Weegmüller,3.9,8.4,2018
