Name,Country,Region,Winery,Rating,Price,Year
Brut Premier Champagne 2012,France,Champagne Premier Cru,Louis Roederer,4.1,62.9,2012
L'Ermitage Brut 2011,United States,Anderson Valley,Roederer Estate,4.2,59.9,2011
RSV Blush Espumante 2015,Brazil,Vale dos Vinhedos,Casa Valduga,3.9,14.95,2015
Blanc de Blancs Champagne (Extra Cuvée de Réserve) 2012,France,Champagne,Pol Roger,4.2,77.79,2012
Franciacorta Satèn 2011,Italy,Franciacorta,Bellavista,4.2,48.4,2011
Signature Chardonnay - Pinot Noir 2019,South Africa,Stellenbosch,Spier,3.6,6.5,2019
Cuvée Nicolas François Billecart Brut Champagne 2006,France,Champagne,Billecart-Salmon,4.5,144.27,2006
Réserve Brut Champagne 2006,France,Champagne,Pol Roger,4.2,69.0,2006
Cuvée Esplendor Vinyes Propies 2013,Spain,Penedès,Vardon Kennett,3.9,38.79,2013
Amour de Deutz Millésime Brut Champagne 2007,France,Champagne,Deutz,4.5,139.0,2007
Concerto Lambrusco Reggiano 2018,Italy,Reggiano,Medici Ermete,3.8,8.28,2018
Rosé Brut Champagne (Extra Cuvée de Réserve) 2009,France,Champagne,Pol Roger,4.1,68.0,2009
Weisser Mulatschak 2019,Austria,Burgenland,Meinklang,4.3,11.5,2019
Kaapse Vonkel Brut Rosé 2017,South Africa,Stellenbosch,Simonsig,3.8,14.08,2017
Cuvée William Deutz Millesimé Brut Champagne 2006,France,Champagne,Deutz,4.4,125.0,2006
‘61 Franciacorta Satèn 1961,Italy,Franciacorta,Berlucchi,3.9,19.9,1961
Crede Valdobbiadene Prosecco Superiore Brut 2017,Italy,Conegliano-Valdobbiadene Prosecco,Bisol,3.8,19.98,2017
Millesimé Brut Champagne 2006,France,Champagne,Charles Heidsieck,4.3,85.95,2006
Blanc de Blancs Brut Champagne (Vintage) 2011,France,Champagne,Louis Roederer,4.2,67.26,2011
Perlé 2014,Italy,Trento,Ferrari,3.9,25.89,2014
Alexandra Champagne Rosé (Grande Cuvée) 2004,France,Champagne,Laurent-Perrier,4.6,349.0,2004
